"In order to complete the payment you will be redirected to Tpay. Click button below if you were not redirected automatically","W celu dokończenia płatności zostaniesz przekierowany do Tpay. Wybierz przycisk jeśli przekierowanie nie nastąpiło automatycznie"
"Redirect me to Tpay.","Przekierowanie do Tpay."
"Active","Aktywny"
"Description","Opis"
"Merchant ID","ID Sprzedawcy"
"Security code","Kod bezpieczeństwa"
"Show payment channels on front","Pokaż kanały płatności na stronie"
"Only online methods","Tylko metody płatności księgujące online"
"Redirect directly to bank","Bezpośrednie przekierowanie do banku"
"API key","API Klucz"
"API password","API Hasło"
"BLIK level zero","BLIK poziom zero"
"Sandbox mode","Tryb Sandbox"
"Client ID","Client ID"
"Secret","Secret"
"Signalize payment","Wyróżnij płatność"
"Key","Klucz"
"Password","Hasło"
"RSA key","Klucz RSA"
"Enable credit card saving","Włącz zapisywanie karty"
"Verification code","Kod weryfikacyjny"
"Card API key","Klucz API"
"Card API password","Hasło API"
"Digest algorithm","Algorytm podpisu"
"Necessary for BLIK level zero payments","Wymagane przy włączonej opcji BLIK level zero"
"Sort order","Pozycja płatności"
"All or allowed countries","Wyszstkie czy dozwolone kraje"
"Allowed countries","Dozwolone kraje"
"Minimal amount","Minimalna kwota"
"Maximal amount for method","Maksymalna kwota"
"Leave empty for no limit","Puste pole bez ograniczeń"
"View bank payments","Widok płatności bankowych"
"Version information","Informacje o wersji"
"If you use other currencies visible on the website and pay in PLN, turn it on/off","W przypadku korzystania z innych walut widocznych na stronie i płatności w PLN należy włączyć/wyłączyć"
"Type in 6 digit code and press pay to commit blik payment.", "Wpisz 6 cyfrowy kod aby powiązać transakcję blik."
"Choose a payment method","Wybierz jeden ze sposobów płatności"
"I accept the regulations of Tpay.","Akceptuje regulamin Tpay."
"There was an error during your payment.","Wystąpił błąd podczas Twojej płatności."
"Thank you for your payment!","Dziękujemy za dokonanie płatności!"
"I do accept Tpay service regulations","Akceptuję regulamin Tpay"
"Use sandbox mode (avoid using it in real production store)","Użyj trybu sandox (nie używaj tego na produkcyjnym sklepie)"
"BLIK code","Kod BLIK"
"Choose a payment method","Wybierz metodę płatności"
"Transaction has been refunded","Transakcja została zwrócona"
"The order has been holded","Zamówienie zostało wstrzymane"
"Send new invoice email to customer", "Wyślij wiadomość z fakturą na adres e-mail klienta"
"If you do not have an account yet, register in the production system at tpay.com or sandbox system panel.sandbox.tpay.com","Jeśli nie masz jeszcze konta, zarejestruj się w systemie produkcyjnym na tpay.com lub w systemie sandbox tpay.com"
"Your login for Merchant’s panel","Twój login do Panelu Akceptanta"
"Find in Merchant’s panel: Settings -> Notifications","Znajdziesz w Panelu Akceptanta: Ustawienia -> Powiadomienia"
"Avoid using it in real production store","Unikaj używania go w prawdziwym sklepie produkcyjnym"
"Find in Merchant’s panel: Integration -> API -> Open API Keys","Znajdziesz w Panelu Akceptanta: Integracje -> API -> Klucze do nowego Open API"
"Select the payment methods that you want to be displayed separately","Zaznacz metody płatności, które chcesz by wyświetlały sie jako osobne"
"Find in Merchant’s panel: Integration -> API -> Old API Keys","Znajdziesz w Panelu Akceptanta: Integracje -> API -> Klucze do starego API"
"Find in Merchant’s panel: Credit cards payment -> API","Znajdziesz w Panelu Akceptanta: Płatności kartami -> API"
"Find in Merchant’s panel: Credit cards payment -> API. In case of Sandbox, put not empty string.","Znajdziesz w Panelu Akceptanta: Płatności kartami -> API. W przypadku Sandbox, wpisz dowolny ciąg znaków."
"Only available for logged in users","Możliwe tylko dla zalogowanych użytkowników"
"General settings","Ustawienia główne"
"Standard payments (Open API)","Płatności standardowe (Open API)"
"Configuration Origin API","Konfiguracja Origin API"
"Cards payments On-site settings","Konfiguracja kart płatniczych On-site"
"Cards payments Origin API settings","Konfiguracja kart płatniczych Origin API"
"Additional settings","Dodatkowe ustawienia"
"By paying, you accept ","Płacąc, akceptujesz "
"regulations","regulamin"
"The personal data administrator is Krajowy Integrator Płatności S.A with its registered office in Poznań. ","Administratorem danych osobowych jest Krajowy Integrator Płatności spółka akcyjna z siedzibą w Poznaniu."
"Show full content","Zapoznaj się z pełną treścią"